TFBS_homology_group	Transcription.Factor.Name
L1779	Dlx4
L178	Irx2
L1780	Dlx4
L1781	Dlx4
L1782	FOXO4
L1783	RORA
L1784	RORA
L1785	ZBTB26
L1786	Arid3a
L1787	Dlx4
L1788	ELF5
L1789	MEIS1
L179	EHF
L1790	NFATC1
L1791	ELK4
L1792	Arid3a
L1793	Arid3a
L1794	Arid3a
L1795	Arid3a
L1796	ELF5
L1797	EHF
L1798	Arid3a
L1799	Dlx4
L18	FOXO4
L180	MEIS1
L1800	ELF5
L1801	ELK4
L1802	ATF2
L1803	ELF5
L1804	NFATC1
L1805	NFATC1
L1806	ELF5
L1807	NFATC1
L1808	TBX3
L1809	MEIS1
L181	TBX3
L1810	TBX3
L1811	TFAP2A
L1812	Bhlha15
L1813	Ddit3Cebpa
L1814	NFIX
L1815	TBX3
L1816	GRHL2
L1817	ATF4
L1818	MEIS1
L1819	MEIS1
L182	RORC
L1820	ELK4
L1821	NFATC1
L1822	SPDEF
L1823	Ddit3Cebpa
L1824	Irx2
L1825	MEIS1
L1826	NR4A2
L1827	SOX10
L1828	NFIX
L1829	Arid3a
L183	Irx2
L1830	Arid3a
L1831	FIGLA
L1832	FOXC2
L1833	Bhlha15
L1834	SOX9
L1835	SOX10
L1836	ZBTB6
L1837	TBX3
L1838	ELF5
L1839	Arid3a
L184	Arnt
L1840	NFATC1
L1841	Arid3a
L1842	MEIS1
L1843	NFIX
L1844	TBX3
L1845	Tcfcp2l1
L1846	Tcfcp2l1
L1847	MEIS1
L1848	NR4A2
L1849	EHF
L185	TBX3
L1850	POU6F1
L1851	BARX2
L1852	Dlx4
L1853	TBX3
L1854	EHF
L1855	NFATC1
L1856	ELF5
L1857	TBX3
L1858	ELK4
L1859	PITX2
L186	ELF5
L1860	Arid3a
L1861	NFATC1
L1862	ELF5
L1863	NFATC1
L1864	ELF5
L1865	POU6F1
L1866	Arid3a
L1867	MEIS1
L1868	PITX2
L1869	NFATC1
L187	ELF5
L1870	SREBF1
L1871	FOXC2
L1872	Dlx4
L1873	Arid3a
L1874	Arid3a
L1875	Arid3a
L1876	MEIS1
L1877	BARX2
L1878	Arid3a
L1879	MEIS1
L188	TBX3
L1880	Dlx4
L1881	Arid3a
L1882	Arid3a
L1883	POU6F1
L1884	Arid3a
L1885	SPDEF
L1886	Arid3a
L1887	Dlx4
L1888	POU6F1
L1889	FOXC2
L189	EHF
L1890	Arid3a
L1891	Dlx4
L1892	MEIS1
L1893	PITX2
L1894	FOS
L1895	BARX2
L1896	Tcfcp2l1
L1897	Dlx4
L1898	Arid3a
L1899	Dlx4
L19	NR4A2
L190	ELF5
L1900	MEIS1
L1901	Dlx4
L1902	Ddit3Cebpa
L1903	NR4A1
L1904	NFIX
L1905	MEIS1
L1906	ZBTB6
L1907	BARX2
L1908	Arid3a
L1909	Dlx4
L191	TP73
L1910	Dlx4
L1911	BARX2
L1912	MEIS1
L1913	Dlx4
L1914	NFIX
L1915	RORA
L1916	BARX2
L1917	SOX9
L1918	BARX2
L1919	Arid3a
L192	TBX3
L1920	Arid3a
L1921	Arid3a
L1922	NFATC1
L1923	NFIX
L1924	NFIX
L1925	NFATC1
L1926	Arid3a
L1927	Arid3a
L1928	Dlx4
L1929	SREBF1
L193	NFATC1
L1930	NR4A1
L1931	NR4A1
L1932	NR4A1
L1933	Dlx4
L1934	BARX2
L1935	MEIS1
L1936	PITX2
L1937	NR4A2
L1938	NR4A2
L1939	PITX2
L194	NFIA
L1940	FOXC2
L1941	MEIS1
L1942	PITX2
L1943	ZBTB26
L1944	Dlx4
L1945	PITX2
L1946	SOX9
L1947	NR4A2
L1948	SOX9
L1949	SOX9
L195	NFATC1
L1950	RORA
L1951	JUN
L1952	NFATC1
L1953	Dlx4
L1954	MEIS1
L1955	Arid3a
L1956	Arid3a
L1957	Arid3a
L1958	Arid3a
L1959	SOX9
L196	NFATC1
L1960	NFATC1
L1961	Arid3a
L1962	NR4A2
L1963	MEIS1
L1964	MEIS1
L1965	TBX3
L1966	BARX2
L1967	Arid3a
L1968	Arid3a
L1969	Bhlha15
L197	Arid3a
L1970	Dlx4
L1971	RORA
L1972	Arid3a
L1973	BARX2
L1974	BARX2
L1975	Arid3a
L1976	Dlx4
L1977	NFATC1
L1978	Arid3a
L1979	Dlx4
L198	NFIX
L1980	Dlx4
L1981	Dlx4
L1982	NFATC1
L1983	TBX3
L1984	Arid3a
L1985	TBX3
L1986	Dlx4
L1987	Arid3a
L1988	BARX2
L1989	TBX3
L199	ELF5
L1990	NFIA
L1991	NFATC1
L1992	FOXC2
L1993	Arid3a
L1994	MEIS1
L1995	Dlx4
L1996	NFATC1
L1997	TBX3
L1998	FOXC2
L1999	Dlx4
L2	MEIS1
L20	ATF4
L200	NFATC1
L2000	NFATC1
L2001	TBX3
L2002	Arid3a
L2003	FOXO4
L2004	Arid3a
L2005	NFATC1
L2006	ELF5
L2007	Ddit3Cebpa
L2008	TFAP2A
L2009	MEIS1
L201	NFATC1
L2010	Dlx4
L2011	Ddit3Cebpa
L2012	ZBTB6
L2013	TFAP2A
L2014	NFATC1
L2015	Dlx4
L2016	MEIS1
L2017	TBX3
L2018	Arid3a
L2019	Dlx4
L202	FOXC2
L2020	Dlx4
