CV1298	CV1297	CV1086	CV1082	CV1095	CV1299	CV1089	CV1300	CV0857	CV1087	CV1096
DIP2C	7.35059705785697	6.38894692146862	6.96044168806757	7.77986315595984	7.65466658500493	7.10820635579566	7.38494511567979	6.73948490880738	7.48881949999531	6.29201878956609	6.63320384009831
LARP4B	8.38068974412864	6.62677579905479	9.00977114636826	9.78227337499944	9.5158135436716	8.16746923547263	8.90723388034044	8.07917410058189	8.67973787449863	8.15717090690301	7.73412354587505
GTPBP4	12.6753179909845	10.8328407010509	13.0907537717894	13.1756531070313	11.2476318484955	13.5152480975347	12.8660411563072	12.56761080833	12.7083775834289	12.4217130394211	12.5388101219166
IDI1	12.7068767125217	12.1668441851733	11.4386612725914	11.3069256260076	12.1111756786602	10.5445373777702	10.8505612966561	9.53618114538329	11.5940433736972	10.9053303211629	9.44697511599021
WDR37	6.06885200450075	5.42722708019568	5.78844758608145	7.58965522912458	5.91322895006053	5.92384698194052	5.63270180617523	5.14300644336062	5.96631865834451	5.50392293815679	5.59519975743861
ADARB2	5.40857286944853	4.95802259446861	5.25516666755428	5.20957677128666	4.95802259446861	5.42506569683224	5.23554789436786	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
MFSD3	6.22302562949846	6.27253184171153	6.43888669781886	6.38876727226152	6.18867987536306	5.85778475977286	6.19365108548289	6.237619313465	6.30645901928313	6.24161862175221	6.23262606688884
PFKP	9.44812208428391	8.68046635140053	8.91369668673803	9.26400813105321	8.91065730036975	9.03969808006713	9.11733171254604	8.4683552227948	8.72630760981924	8.79540204760542	9.06297588649696
PITRM1	9.81298027616242	8.82181344659603	8.76292367379365	9.00318899464135	8.96081403657684	9.04691141230019	8.5668275170206	7.69654635331519	8.5585335239404	8.43822552226626	8.22525822121479
GJD4	5.84858260850075	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
GJD4.1	5.6889200827866	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
CCNY	6.06885200450075	5.6187175394014	6.5585461214354	6.4968104337867	6.28628584488634	6.38279110443159	6.3479312721491	6.32784543494819	6.4981760919265	6.11323930438885	6.07873425371772
CREM	10.0041844010441	7.52401659471079	6.5585461214354	8.67733444835901	8.74868083912138	6.49557668413961	7.08547782043474	5.86839598403445	6.77172746431608	6.91866843782671	6.14322059179527
CUL2	10.3240031671983	8.68826515272237	9.51252952993462	9.70894671033811	9.88744221888651	9.24328587111044	8.69359077818582	8.43003317277555	9.48696435292943	8.70699589766118	8.80408862596367
ANK3	6.43751789914874	6.55284903441697	7.25192338464254	7.9243863440264	8.13957873878019	6.93823417331583	7.54067029454287	7.05749326990578	7.30577891711249	7.29072347761489	7.00672343338695
CUL2.1	9.99123459377703	8.58757244050232	8.54372727248435	8.4364378304352	8.48802785280072	8.58114312049908	7.99154807194306	7.61402944914565	8.5491313461079	7.91474629669356	8.15759332330722
CUL2.2	10.7362487946283	9.64093148230504	9.31944935366629	9.28612476896636	9.99334138479908	9.30018108349037	8.91417992779805	8.56576603174439	9.37226451780672	8.81002274711321	9.05293386326334
XP_016884318	4.95802259446861	5.71876727166131	5.92696682223974	6.87542569867308	6.22226224446782	5.42506569683224	5.78069151737234	6.48836426709661	6.03789820709071	6.07322313868239	6.46240730012008
trnascan-scaffold-Z-noncoding-Thr_TGT-gene-43.0	5.21885091834608	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.27444732076478	4.95802259446861
PARD3	5.53813106879083	5.49902873068522	6.18372980371293	6.9947880333761	6.6069080278517	5.85778475977286	6.13655027566517	6.29491429136604	6.62322050159584	6.44463989224847	6.20370205018079
PARD3.1	6.56613322813865	6.43222142873345	6.92731986442895	7.58235050343052	7.51285104178778	6.76104777615526	6.81263949064099	6.86152902617301	7.18511684844428	6.92821569023677	6.93110985955194
PARD3.2	6.74334974060849	5.80618200257906	6.85835117910452	7.00613109641693	7.16007845200088	6.92994503384482	6.84429817566106	6.88858289343175	7.30577891711249	6.76597145392158	6.81702197113718
PARD3.3	9.01883448751536	8.27099278592536	8.79783015443084	8.3418765894888	9.04843895602994	9.06478744811674	9.30318093786395	8.62154177673549	9.09828673563099	8.49377555364844	8.85512888009256
NRP1	5.6889200827866	5.71876727166131	5.67961588003593	6.15712844728845	5.26505330141302	5.37612052889145	5.23554789436786	5.27798738256846	5.52511941360018	5.624660432388	4.95802259446861
NRP1.1	5.64260879870031	5.67064055640733	5.61786569043426	6.67175648735672	5.76146062756552	5.98510160918718	5.86488565434697	6.09881119339011	5.96631865834451	5.72557183372195	5.80752457857973
ITGB1	10.115773264227	9.92013378277738	9.01348321060797	9.36719166028902	10.7259635430162	9.46521124714084	9.37277874630344	9.17579499921128	9.68783860631916	9.86509814980354	9.16282115859722
CCDC7	4.95802259446861	4.95802259446861	5.25516666755428	5.20957677128666	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
EPC1	9.10169655150877	8.29683708800577	9.45918342965499	8.96800572040131	8.98928051525936	9.59369456047093	9.96127560439258	8.77686126932111	9.48696435292943	8.81244505114475	9.50941304154035
KIF5B	11.048835924221	10.44011854251	11.1033240679257	11.260874738744	11.5314128094209	10.8629282213785	11.1425973641178	10.2507202925062	11.2730425208178	10.3998131650366	10.3222494358969
ARHGAP12	9.68474223168021	8.96652362058268	10.3990313533522	10.8528119555442	10.9913532909071	10.1234078468281	10.4233943127403	8.94277156197207	10.2033843644436	9.11654547733827	8.62548928167477
ZEB1	6.12300583133349	6.08363786697515	6.74716366043523	6.22562326524125	6.04148628710969	6.35608070539402	6.37158728989527	6.56076051547631	6.4064901290189	6.07322313868239	5.89429215504758
SVIL	8.1905433140171	7.96971771954868	9.03555581801045	8.11649995911272	8.6138717110551	8.469733792579	8.59743028546004	8.12006831001641	8.70954850327773	7.89174111149931	8.61640021647162
JCAD	5.32639064383066	4.95802259446861	5.54921657736859	5.74473130608633	4.95802259446861	5.81051613963896	5.23554789436786	6.01368419012482	5.44992461509756	5.45684893925991	4.95802259446861
MTPAP	9.47527136112	8.24466722650102	10.0192750819599	9.96450127172138	8.6138717110551	11.5746592090314	10.6783707708631	10.3593020222563	9.85651010645357	9.25806346725584	9.62444432685511
MAP3K8	6.85768990155159	6.19591630397023	6.78535064309991	6.1332021477431	6.28628584488634	6.51917551875241	6.60323402458877	6.62059746876793	6.64282092487084	7.01106123831753	6.36627012859477
BAMBI	8.89102527875236	7.34296388225338	7.09972546775699	7.36866781389961	8.4649583827129	7.63859350606029	7.90246069506703	7.76056986576281	7.61381785264345	6.98403907421331	7.00672343338695
WAC	10.6464609904522	9.95111007768809	10.7243479212188	10.4036885524759	10.7102250791081	10.6963042162094	10.6854658664418	10.2200802264187	10.7768930645822	9.98974026814857	10.0289013120983
MPP7	8.05721866625379	7.24787367861098	8.35092527893996	8.30308578882981	8.2721852032303	7.90801352544928	7.65527922805682	7.19635491502738	8.47656125180951	7.45962375105853	7.28346137414369
ARMC4	5.21885091834608	4.95802259446861	4.95802259446861	5.20957677128666	4.95802259446861	5.25417786538943	5.34990220293201	4.95802259446861	4.95802259446861	4.95802259446861	5.93443326681131
